Name,total_score,mae_task1,mae_task2,mae_combined,candidate_no,DROP_COLUMNS,NORMALIZATIONS,HIDDEN_LAYERS,iterations,solver,lr_init,momentum,lr
Candidat_733285,100,0.355632955,0.311583165,0.66721612,733285,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0001,0.9,constant
Candidat_733286,100,0.355632955,0.311583165,0.66721612,733286,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0001,0.9,invscaling
Candidat_733287,100,0.355632955,0.311583165,0.66721612,733287,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0001,0.9,adaptive
Candidat_733288,100,0.355632955,0.311583165,0.66721612,733288,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0001,0.85,constant
Candidat_733289,100,0.355632955,0.311583165,0.66721612,733289,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0001,0.85,invscaling
Candidat_733290,100,0.355632955,0.311583165,0.66721612,733290,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0001,0.85,adaptive
Candidat_733280,100,0.355632955,0.311583165,0.66721612,733280,['User_ID'],Standard,"[8, 64, 64]",2000,sgd,0.0001,0.99,invscaling
Candidat_690406,100,0.345175038,0.326750635,0.671925673,690406,['User_ID'],Standard,"[64, 32]",2000,sgd,0.001,1,constant
Candidat_690407,100,0.345175038,0.326750635,0.671925673,690407,['User_ID'],Standard,"[64, 32]",2000,sgd,0.001,1,invscaling
Candidat_690408,100,0.345175038,0.326750635,0.671925673,690408,['User_ID'],Standard,"[64, 32]",2000,sgd,0.001,1,adaptive
Candidat_690409,100,0.345175038,0.326750635,0.671925673,690409,['User_ID'],Standard,"[64, 32]",2000,sgd,0.001,0.99,constant
Candidat_690410,100,0.345175038,0.326750635,0.671925673,690410,['User_ID'],Standard,"[64, 32]",2000,sgd,0.001,0.99,invscaling
Candidat_690411,100,0.345175038,0.326750635,0.671925673,690411,['User_ID'],Standard,"[64, 32]",2000,sgd,0.001,0.99,adaptive
Candidat_690412,100,0.345175038,0.326750635,0.671925673,690412,['User_ID'],Standard,"[64, 32]",2000,sgd,0.001,0.95,constant
Candidat_690413,100,0.345175038,0.326750635,0.671925673,690413,['User_ID'],Standard,"[64, 32]",2000,sgd,0.001,0.95,invscaling
Candidat_690415,100,0.345175038,0.326750635,0.671925673,690415,['User_ID'],Standard,"[64, 32]",2000,sgd,0.001,0.9,constant
Candidat_690416,100,0.345175038,0.326750635,0.671925673,690416,['User_ID'],Standard,"[64, 32]",2000,sgd,0.001,0.9,invscaling
Candidat_690417,100,0.345175038,0.326750635,0.671925673,690417,['User_ID'],Standard,"[64, 32]",2000,sgd,0.001,0.9,adaptive
Candidat_690418,100,0.345175038,0.326750635,0.671925673,690418,['User_ID'],Standard,"[64, 32]",2000,sgd,0.001,0.85,constant
Candidat_690419,100,0.345175038,0.326750635,0.671925673,690419,['User_ID'],Standard,"[64, 32]",2000,sgd,0.001,0.85,invscaling
Candidat_690420,100,0.345175038,0.326750635,0.671925673,690420,['User_ID'],Standard,"[64, 32]",2000,sgd,0.001,0.85,adaptive
Candidat_690414,100,0.345175038,0.326750635,0.671925673,690414,['User_ID'],Standard,"[64, 32]",2000,sgd,0.001,0.95,adaptive
Candidat_690436,100,0.339968033,0.333304325,0.673272358,690436,['User_ID'],Standard,"[64, 32]",2000,sgd,0.0001,1,constant
Candidat_690437,100,0.339968033,0.333304325,0.673272358,690437,['User_ID'],Standard,"[64, 32]",2000,sgd,0.0001,1,invscaling
Candidat_690438,100,0.339968033,0.333304325,0.673272358,690438,['User_ID'],Standard,"[64, 32]",2000,sgd,0.0001,1,adaptive
Candidat_690439,100,0.339968033,0.333304325,0.673272358,690439,['User_ID'],Standard,"[64, 32]",2000,sgd,0.0001,0.99,constant
Candidat_690440,100,0.339968033,0.333304325,0.673272358,690440,['User_ID'],Standard,"[64, 32]",2000,sgd,0.0001,0.99,invscaling
